,food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density
0,cream cheese,51,5000,2900,1300,200,800,500,900,0,14.6,0.016,7600,0.0002,0.033,0.064,0.092,0.097,0.084,0.052,0.096,0.004,0,0,0.1,0.008,14.1,0.082,0.027,1.3,0.091,15.5,19.1,0.039,7.07
1,neufchatel cheese,215,19400,10900,4900,800,3100,2700,7800,0,62.9,0.3,53600,0.0002,0.099,0.079,0.09,0.1,0.2,0.5,0.078,0,0,0.3,0.045,99.5,0.034,0.1,8.5,0.088,117.3,129.2,0.054,0.7,130.1
2,requeijao cremoso light catupiry,49,3600,2300,900,0,900,3400,800,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4
3,ricotta cheese,30,2000,1300,500,2,1500,91,1500,0,9.8,0.017,14700,7.50E-05,0.019,0.079,0.091,0.027,0.041,0.016,0.007,0.006,0,0.001,0.011,0.097,41.2,0.097,0.096,4,0.024,30.8,43.8,0.035,5.196
4,cream cheese low fat,30,2300,1400,600,42,1200,900,1200,0,8.1,0.046,10000,1.60E-05,0.08,0.062,0.049,0.026,0.08,0.1,0.003,0,0.036,0.009,0.019,22.2,0.072,0.008,1.2,0.098,22.8,37.1,0.034,0.053,27.007
5,cream cheese fat free,19,200,100,91,75,1400,1000,2800,0,2.2,0.1,12900,6.30E-05,0.02,0.089,0.092,0.021,0.025,0.2,0.038,0,0,0.049,0.059,63.2,0.039,0.053,4,0.028,94.1,50,0.013,0.3,67.679
6,gruyere cheese,116,9100,5300,2800,500,100,100,8300,0,30.8,0.2,9300,6.10E-05,0.021,0.072,0.078,0.004,0.043,0.2,0.051,0,0.034,0.035,0.048,283.1,0.033,0.094,10.1,0.002,169.4,22.7,0.079,1.1,300.694
7,cheddar cheese,113,9300,5300,2600,300,900,100,6400,0,27.7,0.2,10300,5.40E-05,0.031,0.005,0.073,0.1,0.01,0.1,0.005,0,0.06,0.2,0.035,198.8,0.099,0.077,7.6,0.063,127.4,21.3,0.009,1,215.53
8,parmesan cheese,71,4500,2700,1400,100,600,46,6400,0,12.2,0.2,5400,6.70E-05,0.062,0.099,0.059,0.057,0.039,0.06,0.066,0,0.095,0.018,0.021,213.1,0.051,0.1,7.9,0.073,124.9,16.6,0.045,0.5,224.777
9,romano cheese,19,1300,900,400,35,200,88,1600,0,5.2,0.008,1500,6.40E-05,0.058,0.026,0.045,0.059,0.055,0.025,0.029,0,0.073,0.078,0.004,53.2,0.046,0.03,2.1,0.002,38,4.3,0.087,0.1,56.38
10,parmesan cheese grated,21,1400,800,400,36,700,75,1400,0,4.3,0.043,1100,1.70E-05,0.003,0.015,0.091,0.081,0.077,0.057,0.077,0.007,0,0.002,0.014,0.012,42.7,0.094,0.094,1.7,0.026,31.4,9,0.038,3.745
11,port salut cheese,465,37200,22000,12300,1000,800,800,31400,0,162.4,0.7,60000,0.0004,0.012,0.035,0.067,0.3,0.019,0.3,0.08,0,0.057,0.3,0.094,858,0.062,0.6,31.7,0.095,475.2,179.5,0.015,3.4,928.4
12,swiss cheese,98,7700,4600,2000,300,400,0,6700,0,23.3,0.057,9400,6.90E-05,0.008,0.027,0.008,0.018,0.058,0.1,0.036,0,0.016,0.2,0.056,222.5,0.026,0.024,8.3,0.062,143.5,18,0.031,1.1,237.396
13,goat cheese hard,128,10100,7000,2300,200,600,600,8600,0,29.7,0.076,8200,0.0001,0.071,0.035,0.093,0.3,0.7,0.1,0.007,0,0.044,0.083,0.039,253.3,0.2,0.5,15.3,0.088,206.3,13.6,0.082,0.4,273.2
14,gouda cheese,100,7700,4900,2200,200,600,600,7000,0,31.9,0.2,11600,5.30E-05,0.016,0.042,0.01,0.009,0.081,0.011,0.053,0,0.04,0.026,0.074,196,0.013,0.06,8.1,0.08,152.9,33.9,0.05,1.1,211.424
15,pepper jack cheese lucerne,75,6000,4000,0,0,0,0,5000,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5
16,caraway cheese,106,8300,5300,2300,200,900,0,7100,0,26.3,0.2,11100,1.40E-05,0.077,0.066,0.038,0.1,0.04,0.022,0.086,0,0,0,0,190.5,0.007,0.2,6.2,0.002,138.7,26.3,0.009,0.8,207.072
17,gjetost cheese,1058,67000,43500,17900,2100,96800,0,21900,0,213.4,1.4,30500,0.0008,0.7,0.076,0.047,3.1,1.8,7.6,0.6,0,0,0,0,908,0.2,1.2,158.9,0.035,1007.9,3198.4,0.039,2.6,1095.7
18,tilsit cheese,136,10400,6700,2900,300,800,0,9800,0,40.8,0.3,17100,5.70E-05,0.036,0.072,0.058,0.1,0.068,0.1,0.036,0,0,0,0,280,0.033,0.01,5.2,0.086,200,26,0.026,1.4,301.069
19,goat cheese,103,8400,5800,1900,200,9,31,6100,0,22.4,0.1,12900,0.0001,0.013,0.011,0.086,0.2,0.3,0.03,0.087,0,0.078,0.082,0.046,84.3,0.2,0.5,8.2,0.008,106.1,44.7,0.005,0.2,99.494
20,brick cheese,111,8900,5600,2600,200,800,200,7000,0,28.2,0.2,12300,1.60E-05,0.042,0.059,0.074,0.1,0.085,0.086,0.033,0,0.042,0.072,0.064,202.2,0.093,0.1,7.2,0.085,135.3,40.8,0.056,0.8,219.002
21,asadero cheese,402,31900,20300,9100,1000,3200,3200,25500,0,118.7,0.7,47600,9.80E-05,0.034,0.005,0.043,0.3,0.2,0.3,0.024,0,0.071,0.3,0.02,746.9,0.067,0.6,29.4,0.024,500.6,97.2,0.096,3.4,808.175
22,camembert cheese,90,7300,4600,2100,200,100,100,5900,0,21.6,0.3,15500,9.10E-05,0.054,0.043,0.034,0.1,0.2,0.4,0.017,0,0.093,0.014,0.024,116.4,0.046,0.063,6,0.075,104.1,56.1,0.035,0.7,129.826
