,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
water,-94.00619875188382,-2564.001717782737,-18569.57568479136,-739.0132558841808,225.41243465897918,-10002.057543567342,706.7974844529336,7585.004939870237,125.42090431152018,26.243775008346933,-0.05831355636802861,183934.20862867314,0.0028025204220581716,-0.02770646757332347,0.042471230504133796,0.011248146487917167,0.07472195291066695,0.29536356719658624,0.9799369410940697,0.3036348193491912,1.2503345890784003,0.23451817342800227,0.9389340963314248,0.03913880486927305,5.587242266862235,4.828993036757509,-0.38943210848055443,-8.155687559551632,3.590338374072984,21.533149873522387,41.09903497970071,37.196986135593406,0.32955704353747195
corn,61.47468576947921,1759.2743639925566,1181.0637147338493,556.6929296008057,778.2199659384257,11287.364010240039,1902.9756232421169,844.8322331781237,1669.378133282394,11.991194190691857,0.21812351201528468,16020.088434210236,-0.00023793522001155486,0.02266708699440871,0.060723491525541656,0.010752600364280676,0.04534843274398405,-0.053758790851482996,0.6995270629098591,0.3400384655397767,-3.2193722960862274,3.8149247527566557,-0.3052187114030402,0.16976029989201824,-4.234837781043886,2.6103318929677215,0.25397657836896403,12.087565835564135,6.860061832123231,16.621920157147567,8.050565844802719,61.805999412099666,0.19815566824020078
red,-14.864735523549598,-1682.2470589043332,61.70177942946793,-505.25466460444113,-699.0473566424193,2908.688599298055,1974.585103000566,-1685.267456468202,-903.9279903166016,-5.208874016563598,0.07269965521228033,7908.532047105109,-0.004509358050352547,-0.0028201173465861595,0.02092411279025841,-0.007913430120379913,0.0063019154656432375,-0.1004362801833345,-0.36792859161105174,-0.06692715407978223,5.103772705836571,-8.093619910749897,0.057646216496837877,0.026737639255680845,21.26428863534329,-11.325035445816573,-0.20777918149681707,4.006605726015081,-5.7434421083921485,-2.57378726582283,4.745043080677078,-52.869374852657984,-0.13250342165427753
alaska,-21.92151691067677,-5982.716425421249,-3273.010355045837,-2484.7631383202033,-1306.1796700047303,-7551.922346195402,2805.0491996131036,15056.77715298058,-1091.2366378707225,14.062679282409867,1.0690260157222364,44099.703992653696,-0.0006391798300410798,0.24432350145384196,0.02058699675773168,-0.010246981127274806,-0.0535464378491458,0.13326465295293233,0.2831234636210326,-0.038158142190715144,-3.497082238923575,-1.0668517764930228,-0.19700838608215965,-2.0014042679673265,31.125329415748634,2.970889289174798,-0.8659210405321538,43.72070696333161,-5.2721394034804305,156.02588926741035,59.68007799327087,-37.35324264963021,6.57564235536707
semisweet,748.7284834250568,47118.70742471212,20857.790581292156,15879.890290836182,2303.870767723777,103587.23641142533,82294.113518212,8002.847333186801,9256.478496658356,5.773055477071921,0.10250448815989519,-5382.132935495862,0.0015817400891830267,0.03856360206146969,0.08668514618882339,-0.0027952996222040047,0.20763571632345823,1.2030931734741674,0.35810207218797796,0.07286576767802444,4.10821414181212,-0.6604178430117257,0.4643703055285096,0.478767063878254,47.5951283917856,6.2647920465048035,4.65171458693753,179.65264122727885,0.9652570294961356,205.9158031639278,643.3744386707177,-2.2779672886172477,2.387723055118733
angel,127.09085297846215,674.3238494606221,2435.8865423183506,1217.6191547700892,2231.883702243558,24073.63308709575,5434.743959271671,3185.526816025681,1282.2041590485696,-8.550025359598692,0.27437562279020156,57815.70047894659,-0.000361899632987005,0.11136498618603999,-22.174741015476727,0.014228451467938247,0.04925899781128787,0.7934374644785471,-0.23664406820639766,0.15311822345187867,1.5496224789361612,0.4985123731726575,0.1905343615011072,-0.13361534346349138,-2.240742629742101,0.050465599829321306,0.3495093290896989,9.764662272469394,0.9000146773419591,59.08947765209675,51.6089328851358,7.224749287550836,-0.3644515768777614
coconut,491.70819272831415,15224.853661898685,110893.3036991279,550.6683199022916,-2567.0932276926264,6660.995072925554,6327.546842814323,-10981.304733810415,6238.803612286527,-53.7388468738208,-0.012902739170719546,-1003.136807046918,0.0008633264214949928,0.0009089029689854089,0.041428032628152534,0.005895166325176868,-0.1860214298653746,-3.211577819863831,-0.5181004067881253,-0.19724565512081624,2.203543772507061,0.556702179939518,-0.6505163435234452,0.076135837076684,2.597281195121319,0.41373782457744923,0.33654783793737664,22.297520611361804,1.9927764965242307,-54.083361092276746,85.15427479470765,12.054822161759077,-0.869488179542914
chocolate,57.271516574932946,3281.292575287647,8942.209418707422,820.1097091637466,-703.8707677238071,3812.7635885727213,9305.88648178714,-902.8473331871282,643.5215033414484,-5.773055477072788,-0.06050448815988718,6582.132935497008,-0.0015817400891830677,-0.015563602061479165,0.007314853811228039,0.002795299622201315,-0.007635716323466005,-0.5030931734742774,-0.15810207218798888,-0.03686576767803931,-4.1082141418127875,0.6604178430115988,-0.06437030552849779,-0.41276706387825546,6.204871608212329,-5.064792046505467,0.6482854130623648,13.547358772719178,0.33474297050349566,15.884196836067417,-30.17443867072552,2.332967288616011,0.3122769448812104
sonnenblumenkerne,27.333333333335304,1033.3333333334413,3300.000000000018,833.3333333333203,-5.002220859751105e-12,5.502442945726216e-10,3.23325366480276e-10,-1.1459633242338896e-10,3.1377567211166024e-11,-6.110667527536862e-13,5.162537064506978e-15,-1.0331859812140465e-09,-3.686287386450715e-18,2.7200464103316335e-15,-1.8207657603852567e-14,2.3592239273284576e-15,2.6645352591003757e-15,-1.1102230246251565e-14,-2.3869795029440866e-15,1.887379141862766e-15,3.907985046680551e-13,-6.52811138479592e-14,-4.440892098500626e-16,-9.936496070395151e-15,-2.0037305148434825e-12,-3.2507330161024584e-13,-1.572353358625378e-14,8.881784197001252e-14,-9.325873406851315e-14,-1.8189894035458565e-12,2.2168933355715126e-12,-1.6129320101754274e-12,-3.774758283725532e-14
roti,221.5906884348908,736.2944054704349,1602.757742789002,50104.55084476463,7582.023852998983,-1216.0922330794929,33946.89059381111,2597.5674274609482,1071.1655602186902,3.409668332763218,-0.01872010502202524,-53998.38220251646,0.0008335655750285383,0.02721033730579958,-0.09365583496112428,-0.004525902453158093,-0.0772361069805188,0.7105823422494884,0.13921509155495793,0.07275814976336359,11.710283679446865,1.4371062124108076,0.4790280617714342,-0.6780269881820666,22.857048182730182,0.9863186317086488,1.1660659188792917,52.59298324487949,4.126734010997378,115.58112704621709,166.9206467226108,40.14336901979863,0.7226487788348293
