,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc
lingcod,142.87781126847958,-3171.1479736446586,-1621.9756448276246,-1612.7567594545253,431.02068223846544,-8099.801711460699,-1530.7824012680674,47472.84226489653,-2044.9731804587486,143.18696036668163,0.21313672850355023,165132.64227010237,-0.0012370745770544057,-0.1685939786685631,0.016418498772661223,0.031022944393154263,0.22629929258463422,3.029507559822327,2.2649566834940904,0.6529000714865134,-10.572023370039702,0.04241364643383739,-0.36406759476620193,0.06383740265393587,38.987822180041775,-1.5676011936400434,-0.3800513988288303,60.438227125728666,-3.131988731326444,528.4512363550066,1171.5291886718953,-18.692177338376005,0.47286206799060454
flower,-126.97652241221698,-9418.498145689338,-2623.0989255018885,-3446.7207091639766,-3395.8702417964287,-6625.583519204209,-523.31849017904,-5312.9972432076775,-2216.131905334418,-3.0633186200207305,0.09857266756551009,-22448.17976678349,0.0007148656095725349,-0.14885325997614635,0.03587344590774531,-0.038687531247458676,-0.04927058037716553,-1.1047811613019487,-0.13223108373837886,-0.12481052358569256,5.922951547149298,-3.402991573535558,-0.8203477600065578,-0.6821512102118203,23.723612646529446,-6.9030435813381965,-1.956437606084463,-71.4426709948909,-7.756810862116869,-189.43464996693714,-200.78094049084854,-131.00366046533907,-1.174612640250881
splean,206.337362947364,-921.8660769892886,-2822.3918654987338,-1145.419732709659,-217.7380695590964,-2942.9822712481546,-1169.938793421077,56555.98352391389,-492.0400131836368,1337.0016254890968,0.1211508038853808,91980.20776741387,-0.0018264353132207735,-0.33317915786812313,-0.11835231685392356,0.03503011446703057,0.25227809281323865,10.945721278726001,-0.6683102544497039,-0.6345050727431973,25.984197141875327,0.6241207555739088,-0.22367137845559856,-0.06554220870028926,55.60896393820292,-7.131896211152849,63.85642989863727,29.380133093239948,-11.121415977898955,643.5936639997512,298.61860641875114,-114.95319588732227,8.620833750072768
ja,12.015984927893044,-2444.8653354415637,-3081.8269727017678,10206.69681025979,6961.682074209675,-1626.1508540359682,-81.34721058894866,-719.0811459387551,234.34245752871448,-5.720348006307859,-0.012767254030115083,-2998.1685063975747,-0.0001661414137404428,-0.0021211061819484227,-0.0021026321891440825,-0.005165524295436735,-0.019138051336500927,0.01669332957962233,0.021361790325216568,-0.0363729963656485,-1.5219484238459984,0.013168373789174126,0.19094044490146844,0.5355034208304188,-2.2393027410996638,1.0026602109221372,-0.05877666975597595,1.721575726209295,-0.14414897916567782,-0.7105898414225749,-29.291917519010667,-1.411169571189987,0.03287215250717246
rutabaga,50.87781126847703,-5771.147973644776,-2168.4756448276075,-2594.256759454499,-118.97931776154428,33350.198288538544,20419.217598731797,-3577.1577351032465,9005.026819541206,-22.96303963331286,0.11813672850353657,404582.64227010176,-0.0013035745770543974,0.19790602133143065,0.11891849877267927,-0.02297705560684708,0.07179929258463424,0.679507559822289,0.8149566834941009,0.252900071486514,108.4779766299603,0.04241364643385381,1.0859324052337755,0.10283740265394559,181.88782218004116,-1.503601193639689,0.5199486011711656,67.28822712572806,-2.5829887313263153,141.40123635500765,1216.179188671893,-18.7231773383744,0.1228620679905923
blackberry,-34.309397949908316,-4870.177973509966,-1581.1972188844366,-2459.9612389906038,110.57285021644384,8616.946562585828,7750.738204954918,-5240.943044340849,3199.377158508552,-17.871245471494035,0.0755689335107832,85402.06110252527,-0.0009329466422761598,-0.1516002071391807,0.046993922085347084,-0.0038697493347209094,-0.060030141420986866,-1.5182931365346368,0.3302886441441544,-0.14601108199118384,-32.64764609497968,-10.828032657771315,1.6632374760230704,0.16683547668076848,21.09197922822176,-0.5637498864424657,-0.2448875740244265,13.105018856110547,-0.6831801278162999,-76.2736599401909,46.905505478277746,-21.19065311513083,-0.1983482087202555
foreshank,229.62683126667082,12072.957049547209,-268.4010985466766,5229.944274170218,1948.160149201045,-6653.111631969263,-1208.192926724664,38227.3050324308,-1237.4117361668013,65.07433084421172,0.018970698041485934,117115.39686527569,-0.0021489856910928357,0.11516763028542994,0.04733166740870898,-0.052694462893751924,-0.503928779926302,6.246037863848237,2.3093045175854883,0.7054049877498754,-10.67188885341923,0.23427244335661612,0.4420992298991093,0.09391040303170572,36.00233145226498,-1.9687789480288131,1.8153308348752946,27.17172411085936,1.778512180399236,221.14245095530282,352.4650285847981,43.63344596620806,11.45983625439069
soft,230.69762463537757,14484.30229822495,4383.599057731128,5761.864059313693,1821.70052161494,34483.6755220292,2680.451250642265,-6590.451266578246,1784.6408315433828,-24.65074502037362,0.24522863447451348,-28073.507990151717,-0.0004881216881720725,0.2876719132775747,-0.00949682484011316,-0.03938423308808256,-0.21620128632790825,2.050172376438683,0.11257924985205126,0.20613919640264433,1.9147393705138924,0.36200126980477876,0.5473669966681303,0.06958036030988368,-13.271327235970318,-6.294456311956807,0.8957017270184657,32.64835182856845,-2.515314783240296,-20.379054844503457,-199.57740937160543,-23.888861774188314,-2.173535394935141
crookneck,20.944766302565654,1053.268946978751,-703.8324026778064,-530.3578767993677,2933.688563458577,855.1548818126976,-197.23904900097205,1363.698931769235,-1712.8467132042028,3.0648441223358986,0.016342842780523337,36924.75243436615,-0.0019732270930938774,-0.0674670506253704,0.09856268204961927,0.015781626751108273,0.13359777823114227,-1.6552827473866323,0.7531557674546998,0.05513404223532148,-7.433544082567117,-1.1699791298405824,-0.35466955082001417,0.14595319829523123,-33.25464651186746,-2.2889791740977046,-0.9931414155925493,-57.12752201791653,0.2987837556770252,-135.06480105289847,-78.0497582176472,-2.5928754956844955,-1.4854509274699943
pastrami,-50.699466599722314,-357.0084109023446,-1996.8491508166153,-432.14329734256535,531.5471481438426,-2728.3172546964415,1753.9813547785361,-6706.604581078966,-219.84669833645603,19.120291752314188,0.019537245841410367,-4433.046928129828,0.00041015630785719986,0.028920709006941187,0.05436705000508746,0.03208822109674518,0.1100705534360138,-2.011249755577566,0.3649587170254449,-0.11940662382769252,2.1596137403276465,0.45148341984549667,0.1913926816680594,-0.03998183194739058,-19.850805007139883,3.869989931360216,0.21171245777693448,-9.125149901936048,1.5879248615225956,-49.451674053983766,-163.60668464174728,5.214358582824815,-0.25762115490632453
hominy,63.756607661530666,1139.9323814138206,-196.27445445991725,324.35174605762677,983.4046921108893,16282.650026925632,-1078.7589455249913,-3087.9984254192823,3441.0425490873895,-21.233920333590433,0.28832528513400146,22916.948734183155,-0.0009455628510542413,-0.01934811191936825,0.11128096338708482,0.00247060504675109,-0.044798107630360254,-1.991360919010941,0.5299272274044431,-0.03742337418534719,-13.763262553122566,3.8802229933583643,-0.43301663651299493,0.11847411308200462,-49.91454277739304,2.8967391562356397,-0.41970701853053805,9.248288639843267,4.875720361421877,-42.62465251251007,-150.1550929065467,50.78728979619069,-0.9164098442989657
