food,Caloric Value,Fat,Saturated Fats,Monounsaturated Fats,Polyunsaturated Fats,Carbohydrates,Sugars,Protein,Dietary Fiber,Cholesterol,Sodium,Water,Vitamin A,Vitamin B1,Vitamin B11,Vitamin B12,Vitamin B2,Vitamin B3,Vitamin B5,Vitamin B6,Vitamin C,Vitamin D,Vitamin E,Vitamin K,Calcium,Copper,Iron,Magnesium,Manganese,Phosphorus,Potassium,Selenium,Zinc,Nutrition Density,GMM_Cluster_all_features,GMM_Cluster_without_nutrition_density,GMM_Cluster_vitamins,GMM_Cluster_elements,GMM_Cluster_macronutrients
cream cheese,-0.44916276028571855,-0.17847467136045841,-0.052564720745687764,-0.21903433166745342,-0.2733450031694721,-0.6050688688211423,-0.2967246530060644,-0.3871707646179522,-0.41377818204879013,-0.12347610357709762,-0.24902948366048835,-0.6508716792383961,-0.05140223634850831,-0.19925050150403156,-0.030690388472868403,0.1041038873593434,-0.11456773445769623,-0.3543524239760904,-0.2796311520281772,-0.2606911102733566,-0.09486604587401648,-0.1757323084878706,-0.2812257577782047,-0.028631986644368217,-0.44896988522079995,0.06464168129532223,-0.3436309471139104,-0.4783948038332528,-0.19284674337808022,-0.4686401592224873,-0.4892119422213444,-0.16644282019884366,-0.31200218853042555,-0.5772605131440175,0,4,0,3,3
neufchatel cheese,-0.02279882318577843,0.31802811926446517,0.35772977412344265,0.059239749344077997,-0.1893613284740744,-0.526837561136464,-0.13177179089276936,-0.17346579419493618,-0.41377818204879013,0.0018897357157920075,0.005477180376027642,-0.25803386533859357,-0.05140223634850831,-0.12187922193849672,-0.027089347875670067,0.10019817734437358,-0.11114074728823657,-0.34010453462257195,-0.1410632502046614,-0.2822218376406084,-0.09491438032950296,-0.1757323084878706,-0.10081618415469559,-0.04457846079475066,0.4093918583819525,-0.13659497374074772,-0.34013890263643465,-0.36057183280788113,-0.2505584286357643,-0.11685927473039046,-0.296298828710059,-0.26204778294474823,-0.17810106602541734,0.13394585260958353,5,5,0,2,3
requeijao cremoso light catupiry,-0.4543623204942544,-0.2267457760045482,-0.08333680786087255,-0.24995367400206803,-0.30133956140127127,-0.6016675076174607,-0.0792867893112664,-0.3902679381023437,-0.3952711617723376,-0.1613713676283645,-0.2633678872681794,-0.7157753180566243,-0.0693872687412358,-0.237936141286799,-0.04605482835424796,-0.07555877332926762,-0.22537365293689163,-0.36466986109415545,-0.29571492634697816,-0.3755216562320327,-0.09491438032950296,-0.1757323084878706,-0.2812257577782047,-0.05762557600869994,-0.44903890477964714,-0.13708139818772813,-0.3595391497335221,-0.4787702576533502,-0.25474871601420995,-0.46891327869700533,-0.515510563676269,-0.26231884605449723,-0.31990255733178,-0.5869143750541899,5,5,9,0,3
ricotta cheese,-0.503758142475345,-0.2819127527406508,-0.13462361971951384,-0.2808730163366826,-0.3010596158189533,-0.5812593403953706,-0.32739088964439966,-0.368587723711603,-0.41377818204879013,-0.13593482052545933,-0.24813333343500765,-0.5902380166582092,-0.06264288159396299,-0.215662591108842,-0.027089347875670067,0.10215103235185849,-0.19453076841175476,-0.35963396916748086,-0.290766072710424,-0.3671485955892126,-0.09484187864627323,-0.1757323084878706,-0.28062439253279303,-0.05443628117862345,-0.44820204262862523,0.4523505787414688,-0.3407209100493473,-0.4774353107374485,-0.06428110790304152,-0.4688412471872423,-0.4632526578174511,-0.04245654592477859,-0.3128124827664619,-0.588093649203696,0,4,0,3,0
cream cheese low fat,-0.503758142475345,-0.2715689446026316,-0.1294949385336497,-0.27314318075302896,-0.29546070417259346,-0.5914634240064156,-0.2667332235309198,-0.3778792441647776,-0.41377818204879013,-0.1403472827780041,-0.22214497689606766,-0.6303757932957977,-0.0679484661498176,-0.14415277211645372,-0.031170527219161515,0.0201311220374926,-0.19567309746824132,-0.35484373050552204,-0.2647845911185148,-0.3719332016708241,-0.09491438032950296,-0.17284411381872483,-0.27581347056949945,-0.05211679402947692,-0.2575096289787676,-0.13605132288824023,-0.35798712996575505,-0.46208342120457807,-0.25008225961548636,-0.40048334442216454,-0.45256354070996563,-0.26214817668909973,-0.3091661587042983,-0.46200958805233616,5,5,0,9,3
cream cheese fat free,-0.5323557236222922,-0.3439756015687663,-0.1961677939498834,-0.31248804387382606,-0.29084160206434656,-0.5846607015990523,-0.25923536616213366,-0.32832446841451296,-0.41377818204879013,-0.15566112236036536,-0.17375286472011037,-0.6056099311151579,-0.06372198353752664,-0.21449029899421268,-0.024688654144204514,0.1041038873593434,-0.20138474275067408,-0.3615991952852075,-0.23385425589005146,-0.33006789845672346,-0.09491438032950296,-0.1757323084878706,-0.25175886075303155,-0.04051935828374423,0.09621561011294685,-0.13652344073383885,-0.3492570187720657,-0.42314746949077653,-0.25341544275743183,-0.1864897341679477,-0.4306763009184478,-0.2622535901206688,-0.25913048962905316,-0.22689469487237635,5,5,0,9,6
gruyere cheese,-0.28017705350830324,-0.037109293474195455,0.07052362771505136,-0.10308679791264866,-0.23135316582177323,-0.628878397246914,-0.3267160824812089,-0.1579799267729785,-0.41377818204879013,-0.08142793387637688,-0.08413784217204136,-0.6363537600290555,-0.06390183386145391,-0.21331800687958336,-0.02876983348769596,0.07676391725455477,-0.22080433671094543,-0.359388315902765,-0.23385425589005146,-0.31451792869148604,-0.09491438032950296,-0.17300456907812184,-0.26017797418879535,-0.04370865311382071,1.9933907339243617,-0.13660928034212952,-0.3413029174622599,-0.33832271754285165,-0.2546534822101544,0.03950912771343423,-0.4769958083842182,-0.2619222907643089,-0.0970716424217815,1.120108079378419,5,5,0,2,0
cheddar cheese,-0.28797639382110707,-0.03021342138218263,0.07052362771505136,-0.11854646907995596,-0.2593477240535724,-0.6016675076174607,-0.3267160824812089,-0.21682622297641768,-0.41377818204879013,-0.08947418857219383,-0.08413784217204136,-0.6278138075529729,-0.06453130999519938,-0.20159508573329019,-0.04485448148851519,0.06699964221713024,-0.11114074728823657,-0.3634415947705763,-0.2647845911185148,-0.3695408986300183,-0.09491438032950296,-0.170918650705961,-0.16095270869586528,-0.04747781973118384,1.2660971325723733,-0.13566504465093226,-0.3446009594687648,-0.3730869601444602,-0.25174885118645907,-0.08654601437179871,-0.4793711677414371,-0.26227366886953907,-0.11732899832269048,0.6277958064934341,5,5,0,2,0
parmesan cheese,-0.39716715820036,-0.19571435159049047,-0.06282208311741602,-0.21130449608379975,-0.2873422822853717,-0.6118715912285057,-0.3307649254603534,-0.21682622297641768,-0.41377818204879013,-0.1297054620512785,-0.08413784217204136,-0.669659574685778,-0.06336228288967209,-0.1652540301797814,-0.022287960412738957,0.039659672112341615,-0.16026089671715826,-0.3598796224321967,-0.27715672520990015,-0.2965756558854429,-0.09491438032950296,-0.1681106836665137,-0.27040118336079416,-0.05153692224219029,1.3894695940116781,-0.13635176151725753,-0.34013890263643465,-0.36891525103226724,-0.25127268216618115,-0.09404929663877686,-0.48734558844067233,-0.2620929601297064,-0.21861577782723524,0.681250453848742,5,5,0,2,0
romano cheese,-0.5323557236222922,-0.3060483050626957,-0.15513834446297037,-0.28860285192033625,-0.2964405137107064,-0.6254770360432323,-0.32761582536546324,-0.36549055022721144,-0.41377818204879013,-0.1478744242676393,-0.2561986854643339,-0.7029653893425003,-0.063632058375563,-0.16994319863829868,-0.039813024652437516,0.012319702007552983,-0.15797623860418517,-0.35791439631447,-0.2879823425398623,-0.34083326214034926,-0.09491438032950296,-0.16987569151988058,-0.23431926863609234,-0.05646583243412667,0.009941161553992111,-0.13642329452416643,-0.3537190756043958,-0.449568293867999,-0.2546534822101544,-0.3548633882389374,-0.5082148170790963,-0.2618821332665683,-0.29964520143087103,-0.2922114527903633,5,5,0,9,0
