,food,Cluster
0,cream cheese,2
1,neufchatel cheese,2
2,requeijao cremoso light catupiry,2
3,ricotta cheese,2
4,cream cheese low fat,2
5,cream cheese fat free,2
6,gruyere cheese,2
7,cheddar cheese,2
8,parmesan cheese,2
9,romano cheese,2
10,parmesan cheese grated,2
11,port salut cheese,10
12,swiss cheese,2
13,goat cheese hard,2
14,gouda cheese,2
15,pepper jack cheese lucerne,2
16,caraway cheese,2
17,gjetost cheese,10
18,tilsit cheese,2
19,goat cheese,2
20,brick cheese,2
21,asadero cheese,10
22,camembert cheese,2
23,provolone cheese reduced fat,10
24,roquefort cheese,10
25,queso blanco cheese,10
26,queso seco cheese,10
27,goat cheese soft,2
28,mozzarella cheese,2
29,chihuahua cheese,10
30,limburger cheese,2
31,muenster cheese,10
32,queso fresco cheese,10
33,brie cheese,2
34,pimento cheese,10
35,mexican cheese,10
36,feta cheese,2
37,mozzarella cheese fat free,10
38,provolone cheese,10
39,anejo cheese,10
40,honey,2
41,apple butter,2
42,fruit jam,2
43,chocolate hazelnut spread,2
44,peanut butter,2
45,peanut spread,2
46,chicken spread,2
47,cheese spread,2
48,tahini,2
49,orange marmalade,2
50,american cheese spread,2
51,apricot jam,2
52,chunky peanut butter,2
53,ham and cheese spread,2
54,chicken and rice casserole homade,2
55,picnic loaf,2
56,corn tamale,2
57,baked potato with cheese sauce bacon,2
58,chinese egg roll,2
59,butter croissant,2
60,enchilada with cheese beef,2
61,corned beef hash with potatoes,2
62,biscuit with egg cheese bacon,2
63,bagel with ham egg cheese,2
64,quesadilla with chicken,10
65,corn rice,2
66,kung pao chicken,9
67,beef empanada,2
68,frijoles with cheese,2
69,burrito with beef,6
70,crispy chicken sandwich,2
71,enchilada with cheese,6
72,pork egg roll,2
73,corn on the cob with butter,2
74,pancakes with butter syrup,2
75,burrito with beans,2
76,scrambled eggs,2
77,baked potato with sour cream,2
78,turkey and gravy,2
79,chicken egg roll,2
80,vegetable egg roll,2
81,ham cheese roll,2
82,biscuit with ham,2
83,lemon chicken,9
84,hummus,2
85,croissant with egg cheese,2
86,enchirito with cheese beef beans,2
87,sweet sour pork,2
88,crab cake,2
89,egg dinner roll,2
90,english muffin with egg cheese sausage,2
91,buttermilk pancakes,2
92,omelet,2
93,taco with chicken cheese lettuce,2
94,spinach souffle,2
95,english muffin with cheese sausage,2
96,potato gratin,2
97,biscuit with egg,2
98,french fries deep fried,6
99,sweet sour chicken,2
100,burrito with beans beef,2
101,nachos with cinnamon sugar,2
102,arroz con grandules,2
103,chili con carne,6
104,arroz con abichuelas,2
105,biscuit with sausage,2
106,vegetarian stew,9
107,chicken sandwich with cheese,2
108,biscuit with egg steak,2
109,taco salad,2
110,succotash,2
111,nachos with cheese jalapeno peppers,10
112,biscuit with egg ham,2
113,ladyfingers,2
114,mozzarella steak fried,2
115,tamale navajo,2
116,blueberry pancakes,2
117,chimichanga with beef cheese,2
118,egg cheese sandwich,2
119,biscuit with egg bacon,2
120,pupusas con queso,2
121,apple croissant,2
122,refried red beans,2
123,tostada with guacamole,2
124,chicken sandwich,6
125,fried rice,2
126,pupusas del cerdo,2
127,turkey pot pie,2
128,cheese croissant,2
129,chimichanga with beef,2
130,french toast with butter,2
131,ham egg cheese sandwich,2
132,english muffin with butter,2
133,savoury noodle one pan dinner tandaco,2
134,ham cheese sandwich,2
135,sweet gefilte fish,2
136,poached egg,2
137,tostada with beef cheese,2
138,tostada with beans cheese,2
139,pork tamale,2
140,nachos with cheese,6
141,pulled pork in barbecue sauce,2
142,baked potato with cheese sauce,2
143,baked beans,6
144,arroz con frijoles,2
145,taco with beef cheese lettuce,2
146,burrito with beans cheese beef,2
147,egg mix,2
148,falafel,2
149,taco salad with chili con carne,2
150,wonton wrappers,2
151,hushpuppies,10
152,chicken pot pie,2
153,general tsos chicken,9
154,burrito with beans cheese,2
155,vegetarian fillets,2
156,biscuit with egg sausage,2
157,chicken chow mein,2
158,fruit burrito,2
159,arroz con leche,2
160,caramel custard flan,2
161,gelatin dessert,2
162,chocolate milk dessert,2
